ID_Column,Column,Label,Label@nl,Label@fr,Comment,Comment@nl,Comment@de,Comment@fr,Definition,Definition@nl,Definition@de,Definition@fr,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template,Column_type_variable,Column_personal_data,Column_sensitive_personal_data
ID_businessId,businessId,Business identifier from the ingredient.,,,,,,,A business identifier associated with the ingredient.,Een bedrijfsidentificatie gekoppeld aan het ingrediënt.,?,Un identifiant business associé à l'ingrédient.,,,,,,,,,,,,,Number,No,No
ID_createdDate,createdDate,Date of creation for the ingredient entry.,,,,,,,The date when the ingredient data was initially created.,De datum waarop de gegevens van het ingrediënt oorspronkelijk zijn gemaakt.,?,La date à laquelle les données de l'ingrédient ont été initialement créées.,,,,,,,,,,,,,Date,No,No
ID_creationDateUsageVet,creationDateUsageVet,Creation date of the ingredient (Veterinary).,,,,,,,The date when the ingredient was created for veterinary usage.,De datum waarop het ingrediënt is gemaakt voor veterinair gebruik.,?,La date à laquelle l'ingrédient a été créé pour une utilisation vétérinaire.,,,,,,,,,,,,,Date,No,No
ID_de,de,Information about the ingredient,,,,,,,Information or name of the ingredient in German.,Informatie of naam van het ingrediënt in het Duits.,?,Information ou nom de l'ingrédient en allemand.,,,,,,,,,,,,,String,No,No
ID_deprecated,deprecated,Deprecated indicator for the ingredient.,,,,,,,Indicates whether the ingredient is deprecated or no longer in use.,Geeft aan of de vermelding voor het ingrediënt verouderd of niet langer in gebruik is.,?,Indique si l'entrée pour l'ingrédient est obsolète ou n'est plus en usage.,,,,,,,,,,,,,Boolean,No,No
ID_en,en,Information about the ingredient,,,,,,,Information or name of the ingredient in English.,Informatie of naam van het ingrediënt in het Engels.,?,Information ou nom de l'ingrédient en anglais.,,,,,,,,,,,,,String,No,No
ID_fr,fr,Information about the ingredient,,,,,,,Information or name of the ingredient in French.,Informatie of naam van het ingrediënt in het Frans.,?,Information ou nom de l'ingrédient en francais.,,,,,,,,,,,,,String,No,No
ID_id,id,Unique identifier within the dataset 'Ingredient'.,,,,,,,A unique identifier for each ingredient in the dataset.,Een unieke identificatie voor elk ingrediënt in het dataset.,?,Un identifiant unique pour chaque ingrédient dans le jeu de données.,,,,,,,,,,,,,String,No,No
ID_ingredientStatus,ingredientStatus,Ingredient status.,,,,,,,"The status or condition of the ingredient (Active, to be validated,..).","De status of toestand van het ingrediënt (Actief, te valideren,...).",?,"Le statut ou l'état de l'ingrédient (actif, à valider,...).",,,,,,,,,,,,,String,No,No
ID_ingredientStatusId,ingredientStatusId,Ingredient status ID.,,,,,,,An identifier for the status of the ingredient.,Een identificatie voor de status van het ingrediënt.,?,Un identifiant pour le statut de l'ingrédient.,,,,,,,,,,,,,String,No,No
ID_lastModifiedDate,lastModifiedDate,Latest modification timestamp for the ingredient entry.,,,,,,,The date when the ingredient data was last modified.,De datum waarop de gegevens van het ingrediënt voor het laatst zijn gewijzigd.,?,La date à laquelle les données de l'ingrédient ont été dernièrement modifiées.,,,,,,,,,,,,,Date,No,No
ID_namesSynonyms,namesSynonyms,Synonyms for the Ingredient.,,,,,,,Names and synonyms associated with the ingredient.,Namen en synoniemen geassocieerd met het ingrediënt.,?,Noms et synonymes associés à l'ingrédient.,,,,,,,,,,,,,String,No,No
ID_nl,nl,Information about the ingredient,,,,,,,Information or name of the ingredient in Dutch.,Informatie of naam van het ingrediënt in het Nederlands.,?,Information ou nom de l'ingrédient en néerlandais.,,,,,,,,,,,,,String,No,No
ID_type,type,Ingredient category.,,,,,,,The type or category to which the ingredient belongs. Give a view if the ingredient is the active substance or an excipient or something else. ,Het type of de categorie waartoe het ingrediënt behoort. Geef aan of het ingrediënt de werkzame stof is of een hulpstof of iets anders.,?,"Le type ou la catégorie à laquelle l'ingrédient appartient. Indiquer si l'ingrédient est la substance active, un excipient ou autre chose.",,,,,,,,,,,,,String,No,No
ID_leadMSHum,leadMSHum,Flag on Leading member state value for the ingredient (Human).,,,,,,,"Lead Member State indicator, to find out whether Belgium is designated as a lead member state for monitoring and reporting on substances for human use in other EU member states.","Lead Member State""-indicator, om na te gaan of België is aangewezen als referentiestaat voor het monitoren en, indien nodig, rapporteren aan andere EU-lidstaten over stoffen voor menselijk gebruik.",?,"Indicateur ""Lead Member State"", pour savoir si la Belgique est désignée comme état de référence pour surveiller et signaler en cas de besoin les autres Etats membres de l'EU pour les substances à usage humain.",,,,,,,,,,,,,Boolean,No,No
