ID_Column,Column,Label,Label@nl,Label@fr,Comment,Comment@nl,Comment@de,Comment@fr,Definition,Definition@nl,Definition@de,Definition@fr,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template,Column_type_variable,Column_personal_data,Column_sensitive_personal_data
ID_createdDate,createdDate,Creation timestamp of the record linked to a target species,,,,,,,"The specific date and time when a target species record was initially created in the dataset, serving as a timestamp for its inception.","De specifieke datum en tijd waarop een record van doelsoorten aanvankelijk is aangemaakt in de dataset, dient als tijdstempel voor het begin ervan.",?,"La date et l'heure spécifiques de la création initiale d'un enregistrement d'espèces cibles dans le jeu de données, servant de repère pour son origine.",,,,,,,,,,,,,Date,No,No
ID_deprecated,deprecated,Deprecation indicator on record linked to the target species,,,,,,,"An indicator specifying whether a particular target species entry is considered deprecated, meaning it is no longer recommended or in common use.","Een indicator die aangeeft of een specifieke invoer met betrekking tot een doelsoort als verouderd wordt beschouwd, wat betekent dat deze niet langer wordt aanbevolen of veelvuldig wordt gebruikt.",?,"Un indicateur spécifiant si une entrée relative à une espèce cible particulière est considérée comme obsolète, ce qui signifie qu'elle n'est plus recommandée ou couramment utilisée.",,,,,,,,,,,,,Boolean,No,No
ID_nl,nl,Target species name,,,,,,,The name or description of the target species in the Dutch language.,De naam of beschrijving van de doelsoort in de Nederlandse taal.,?,Le nom ou la description de l'espèce cible en langue néerlandaise.,,,,,,,,,,,,,String,No,No
ID_en,en,Target species name,,,,,,,The name or description of the target species in the English language.,De naam of beschrijving van de doelsoort in de Engelse taal.,?,Le nom ou la description de l'espèce cible en langue anglaise.,,,,,,,,,,,,,String,No,No
ID_sporId,sporId,European medicines agency (EMA) SPOR ID related to the table. ,,,,,,,"The SPOR ID is a unique identifier assigned to each 'Substance, Product, Organisation, Referential master data' in pharmaceutical regulatory processes. These data are used by European medicines agency (EMA) to identify & track medecines. "," De SPOR ID is een unieke identificatie die wordt toegewezen aan elke 'Substance, Product, Organisation, Referential master data' in farmaceutische regelgevende processen. Deze gegevens worden gebruikt door het Europees Geneesmiddelenbureau (EMA) om geneesmiddelen te identificeren en te volgen.",?,"L'identifiant SPOR est un identifiant unique attribué à chaque ""substance, produit, organisation, données de référence"" dans les processus de réglementation pharmaceutique. Ces données sont utilisées par l'Agence européenne des médicaments (EMA) pour identifier et suivre les médicaments. ",,,,,,,,,,,,,Number,No,No
ID_fr,fr,Target species name,,,,,,,The name or description of the target species in the French language.,De naam of beschrijving van de doelsoort in de Franse taal.,?,Le nom ou la description de l'espèce cible en langue française.,,,,,,,,,,,,,String,No,No
ID_de,de,Target species name,,,,,,,The name or description of the target species in the German language.,De naam of beschrijving van de doelsoort in de Duitse taal.,?,Le nom ou la description de l'espèce cible en langue allemande.,,,,,,,,,,,,,String,No,No
ID_lastModifiedDate,lastModifiedDate,Last modification timestamp of the record linked to a target species,,,,,,,"The specific date and time when a target species record was most recently modified in the dataset, serving as a timestamp for its latest changes.","De specifieke datum en tijd waarop een record van doelsoorten het laatst is gewijzigd in de dataset, dient als tijdstempel voor de meest recente wijzigingen.",?,"La date et l'heure spécifiques de la dernière modification d'un enregistrement d'espèces cibles dans le jeu de données, servant de repère pour ses modifications les plus récentes.",,,,,,,,,,,,,Date,No,No
ID_code,code,Species identifier in the dataset.,,,,,,,"A string used to uniquely identify and categorize different target species within the dataset, facilitating classification and organization.","Een tekenreeks die wordt gebruikt om verschillende doelsoorten binnen de dataset uniek te identificeren en te categoriseren, waardoor classificatie en organisatie worden vergemakkelijkt.",?,"Une chaîne de caractères utilisée pour identifier de manière unique et classer différentes espèces cibles au sein du jeu de données, facilitant leur classification et leur organisation.",,,,,,,,,,,,,String,No,No
ID_id,id,Unique ID for the Target species records in the dataset.,,,,,,,"A unique identifier or reference number used to distinguish and categorize different records related to target species, facilitating organization and management within the dataset.","Een unieke identifier of referentienummer dat wordt gebruikt om verschillende records met betrekking tot doelsoorten te onderscheiden en te categoriseren, wat de organisatie en het beheer binnen de dataset vergemakkelijkt.",?,"Un identifiant unique ou un numéro de référence utilisé pour distinguer et catégoriser différents enregistrements liés aux espèces cibles, facilitant l'organisation et la gestion au sein du jeu de données.",,,,,,,,,,,,,String,No,No
ID_version,version,Version is an indicator tracking target species updates.,,,,,,,"The version number refers to the specific iteration or edition of an entry within the 'Target Species' dataset, denoting changes or updates made over time.","Het versienummer verwijst naar de specifieke iteratie of editie van een item in de Doelsoort-dataset, wat wijzigingen of updates aangeeft die in de loop der tijd zijn aangebracht.",?,"Le numéro de version fait référence à l'itération ou à l'édition spécifique d'une entrée dans l'ensemble de données ""Target Species"", indiquant les changements ou les mises à jour effectués au fil du temps.",,,,,,,,,,,,,Number,No,No
