ID_Column,Column,Label,Label@nl,Label@fr,Comment,Comment@nl,Comment@de,Comment@fr,Definition,Definition@nl,Definition@de,Definition@fr,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template,Column_type_variable,Column_personal_data,Column_sensitive_personal_data
ID_code,code,Unique code for authorization types,,,,,,,"A unique identifier or code associated with different authorization types, facilitating their categorization and differentiation within the database.","Uniek identificatienummer of code geassocieerd met verschillende soorten autorisaties, waardoor ze kunnen worden gecategoriseerd en onderscheiden in de database.",?,"Un identifiant unique ou un code associé à différents types d'autorisations, facilitant leur catégorisation et leur différenciation au sein de la base de données.",,,,,,,,,,,,,String,No,No
ID_createdDate,createdDate,The timestamp for the creation of an authorization type.,,,,,,,"The specific date and time when an authorization type entry was initially created or added to the database, serving as a timestamp for its inception.",De specifieke datum en tijd waarop een bepaald type authorisatie oorspronkelijk is aangemaakt of aan de database is toegevoegd. Het dient als tijdstempel voor de oorsprong ervan.,?,"La date et l'heure spécifiques à laquelle une entrée de type d'autorisation a été initialement créée ou ajoutée à la base de données, servant de marque-temporelle pour son origine.",,,,,,,,,,,,,Date,No,No
ID_de,de,Authorization type,,,,,,,"The authorization type in German, describing the specific type of authorization.",Het autorisatietype in het Duits dat het specifieke type van autorisatie beschrijft.,?,"Le type d'autorisation en allemand, décrivant le type spécifique d'autorisation.",,,,,,,,,,,,,String,No,No
ID_deprecated,deprecated,An indicator for deprecation of authorization types.,,,,,,,"An indicator specifying whether a particular authorization type is considered deprecated, meaning it is no longer used","Een indicator die aangeeft of een bepaald type autorisatie als verouderd wordt beschouwd, wat betekent dat het niet langer wordt aanbevolen of veel wordt gebruikt.",?,"Un indicateur spécifiant si un type d'autorisation particulier est considéré comme obsolète, ce qui signifie qu'il n'est plus valable",,,,,,,,,,,,,Boolean,No,No
ID_en,en,Authorization type,,,,,,,"The authorization type in English, describing the specific type of authorization.",Het autorisatietype in het Engels dat het specifieke type toestemming beschrijft.,?,"Le type d'autorisation en anglais, décrivant le type spécifique d'autorisation.",,,,,,,,,,,,,String,No,No
ID_fr,fr,Authorization type,,,,,,,"The authorization type in French, describing the specific type of authorization.",Het autorisatietype in het Frans dat het specifieke type van autorisatie beschrijft.,?,"Le type d'autorisation en français, décrivant le type spécifique d'autorisation.",,,,,,,,,,,,,String,No,No
ID_id,id,Unique ID for authorization types records.,,,,,,,"An unique identifier or reference number used to distinguish and categorize different types of authorizations, allowing for the classification and management of authorization categories.","Een unieke identificatienummer of referentienummer dat wordt gebruikt om verschillende soorten autorisaties te onderscheiden en te categoriseren, waardoor de classificatie en het beheer van autorisatietypen mogelijk is.",?,"Un identifiant ou numéro de référence unique utilisé pour distinguer et catégoriser différents types d'autorisations, permettant la classification et la gestion des catégories d'autorisations.",,,,,,,,,,,,,String,No,No
ID_sporId,sporId,European medicines agency (EMA) SPOR ID related to the table. ,,,,,,,"The SPOR ID is a unique identifier assigned to each 'Substance, Product, Organisation, Referential master data' in pharmaceutical regulatory processes. These data are used by European medicines agency (EMA) to identify & track medecines. "," De SPOR ID is een unieke identificatie die wordt toegewezen aan elke 'Substance, Product, Organisation, Referential master data' in farmaceutische regelgevende processen. Deze gegevens worden gebruikt door het Europees Geneesmiddelenbureau (EMA) om geneesmiddelen te identificeren en te volgen.",?,"L'identifiant SPOR est un identifiant unique attribué à chaque ""substance, produit, organisation, données de référence"" dans les processus de réglementation pharmaceutique. Ces données sont utilisées par l'Agence européenne des médicaments (EMA) pour identifier et suivre les médicaments. ",,,,,,,,,,,,,Number,No,No
ID_version,version,Version is an indicator tracking authorization types  updates.,,,,,,,"The version number refers to the specific iteration or edition of an entry within the 'Authorisation Type(s)' dataset, denoting changes or updates made over time.","Het versienummer verwijst naar de specifieke iteratie of editie van een item in de dataset ""Authorisation type(s)"" en geeft wijzigingen of updates aan die in de loop der tijd zijn aangebracht.",?,"Le numéro de version fait référence à l'itération ou à l'édition spécifique d'une entrée dans l'ensemble de données ""Authorisation Type(s)"", indiquant les changements ou les mises à jour effectués au fil du temps.",,,,,,,,,,,,,Number,No,No
ID_lastModifiedDate,lastModifiedDate,Latest modification timestamp for an authorization type entry.,,,,,,,"The specific date and time when an authorization type entry was most recently modified or updated, serving as a timestamp for its latest changes.","De specifieke datum en tijd waarop een type autorisatie-item voor het laatst is gewijzigd of bijgewerkt, als tijdstempel voor de laatste wijzigingen.",?,"La date et l'heure spécifiques de la dernière modification ou mise à jour d'une entrée de type d'autorisation, servant de minutage pour les derniers changements apportés.",,,,,,,,,,,,,Date,No,No
ID_nl,nl,Authorization type,,,,,,,"The authorization type in Dutch, describing the specific type of authorization.",Het autorisatietype in het Nederlands dat het specifieke type van autorisatie beschrijft.,?,"Le type d'autorisation en néerlandais, décrivant le type spécifique d'autorisation.",,,,,,,,,,,,,String,No,No
