ID_Column,Column,Label,Label@nl,Label@fr,Comment,Comment@nl,Comment@de,Comment@fr,Definition,Definition@nl,Definition@de,Definition@fr,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template,Column_type_variable,Column_personal_data,Column_sensitive_personal_data
ID_cnkCode,cnkCode,CNK code.,,,,,,,"National code Unique identification number of each packaging form of products and medicines that are available from retail pharmacies (open to the general public). The CNK number is allocated by APB (the general pharmaceutical association in Belgium) upon a request from the responsible company, and is issued only for medicines and products that are commercialised in Belgium.",Nationale code Uniek identificatienummer van elke verpakkingsvorm van producten en geneesmiddelen die beschikbaar zijn in open officina's (voor het grote publiek). Het CNK-nummer wordt toegekend door APB (de algemene farmaceutische vereniging in België) op verzoek van het verantwoordelijke bedrijf en wordt enkel toegekend voor geneesmiddelen en producten die in België worden gecommercialiseerd.,?,"Code national Numéro d'identification unique de chaque forme d'emballage des produits et médicaments disponibles dans les pharmacies de détail (ouvertes au grand public). Le numéro CNK est attribué par APB (l'association pharmaceutique générale de Belgique) sur demande de l'entreprise responsable, et n'est délivré que pour les médicaments et produits commercialisés en Belgique.",,,,,,,,,,,,,Number,No,No
ID_derogationImport,derogationImport,Import derogation indicator.,,,,,,,An indicator specifying whether the product has import derogation.,Een indicator die aangeeft of het product een importderogatie heeft.,?,Un indicateur spécifiant si le produit bénéficie d'une dérogation d'importation.,,,,,,,,,,,,,Boolean,No,No
ID_fmdProductCodes,fmdProductCodes,FMD product codes.,,,,,,,"Falsified Medicines Directive Product code Product code, composed of 14 digits, which is part of a two-dimensional barcode on the packaging of a medicine in accordance with the rules of the European Falsified Medicines Directive (Directive 2011/62/EU).","Een lijst van FMD-productcodes die zijn gekoppeld aan records in de 'Pack'-dataset, die productspecifieke identificatiemiddelen aangeven voor farmaceutische items.",?,"Une liste de codes produits FMD associés aux enregistrements du jeu de données 'Pack', indiquant des identifiants spécifiques aux produits pharmaceutiques.",,,,,,,,,,,,,Number,No,No
ID_fmdUI,fmdUI,FMD UI indicator.,,,,,,,A boolean indicator representing the presence of an FMD (Falsified Medicines Directive) user interface associated with records in the 'Pack' dataset.,Een booleaanse indicator die de aanwezigheid van een FMD (Richtlijn inzake vervalste geneesmiddelen) gebruikersinterface vertegenwoordigt die is gekoppeld aan records in de 'Pack'-dataset.,?,"Un indicateur booléen représentant la présence d'une interface utilisateur FMD (Directive sur les médicaments falsifiés) associée aux enregistrements du jeu de données 'Pack'.""",,,,,,,,,,,,,Boolean,No,No
ID_atd,atd,Indication of whether the package of a medicine is equipped with an anti-tampering device (ATD).,,,,,,,"Indicate presence of the ATD. The Falsified Medicines Directive (FMD), sets forth a number of measures to prevent the introduction of falsified medicines on the market. Thus, all packages of medicines that fall under this regulation must have a unique code and an anti-tampering device (ATD). On packages that do not fall under this obligation, marketing authorization holders can voluntarily attach an ATD. This information is now available in the online medicines database.","Aanwezigheid van de ATD aangeven. De Falsified Medicines Directive (FMD) bevat een aantal maatregelen om te voorkomen dat vervalste geneesmiddelen op de markt komen. Zo moeten alle verpakkingen van geneesmiddelen die onder deze regelgeving vallen voorzien zijn van een unieke code en een anti-tampering device (ATD). Op verpakkingen die niet onder deze verplichting vallen, kunnen houders van handelsvergunningen vrijwillig een ATD aanbrengen. Deze informatie is nu beschikbaar in de online medicijndatabank.",?,"Indiquer la présence de l'ATD. La directive sur les médicaments falsifiés (FMD) prévoit un certain nombre de mesures visant à empêcher l'introduction de médicaments falsifiés sur le marché. Ainsi, tous les emballages de médicaments qui tombent sous le coup de cette réglementation doivent être munis d'un code unique et d'un dispositif anti-falsification (ATD). Les titulaires d'une autorisation de mise sur le marché peuvent volontairement apposer un DAT sur les emballages qui ne sont pas soumis à cette obligation. Ces informations sont désormais disponibles dans la base de données en ligne sur les médicaments.",,,,,,,,,,,,,Boolean,No,No
ID_createdDate,createdDate,Timestamp of pack records creation.,,,,,,,"The specific date and time at which an entry in Pack was initially created or added to the dataset, serving as a time marker for its origin.",De specifieke datum en tijd waarop een item in Pack voor het eerst werd aangemaakt of toegevoegd aan de dataset.,?,"La date et l'heure spécifiques auxquelles une entrée dans Pack a été initialement créée ou ajoutée au jeu de données, servant de marqueur temporel pour son origine.",,,,,,,,,,,,,Date,No,No
ID_creationDate,creationDate,Creation date of the pack.,,,,,,,"The specific local date when the pack was created , indicating the date of creation of this pack.","De specifieke lokale datum waarop het pakket is aangemaakt, die de aanmaakdatum van dit pakket aangeeft.",?,"La date locale spécifique à laquelle le pack a été créé, indiquant la date de création de ce pack.",,,,,,,,,,,,,Date,No,No
ID_ctiExtended,ctiExtended,CTI Extended Number for approved packaging form (From the FAMHP/FAGG/AFMPS),,,,,,,Unique identification number of each packaging form of a medicine. The CTI Extended Number is allocated by the FAMHP to each approved packaging form of a medicine and is therefore also issued for packaging forms that are not commercially available in Belgium.,Uniek identificatienummer van elke verpakkingsvorm van een geneesmiddel. Het uitgebreide CTI-nummer wordt door het FAGG toegekend aan elke goedgekeurde verpakkingsvorm van een geneesmiddel en wordt dus ook toegekend voor verpakkingsvormen die niet in België in de handel verkrijgbaar zijn.,?,Numéro d'identification unique de chaque forme d'emballage d'un médicament. Le numéro CTI étendu est attribué par l'AFMPS à chaque forme d'emballage approuvée d'un médicament et est donc également délivré pour les formes d'emballage qui ne sont pas disponibles dans le commerce en Belgique.,,,,,,,,,,,,,String,No,No
ID_aut,aut,Unique ID for pack records in the dataset.,,,,,,,"An unique identifier or reference number used to uniquely distinguish and categorize different pack records, facilitating organization and management within the dataset.","Een unieke identificatienummer of referentienummer dat wordt gebruikt om verschillende verpakkingsrecords uniek te onderscheiden en te categoriseren, wat de organisatie en het beheer binnen de dataset vergemakkelijkt.",?,"Un identifiant ou un numéro de référence unique utilisé pour distinguer de manière unique et catégoriser différents enregistrements d'emballage, facilitant l'organisation et la gestion au sein de l'ensemble de données.",,,,,,,,,,,,,String,No,No
ID_lastModifiedDate,lastModifiedDate,Latest modification timestamp for pack records.,,,,,,,"The specific date and time when a pack entry was most recently modified or updated, serving as a timestamp for its latest changes.","De specifieke datum en tijd waarop een verpakkingsvermelding voor het laatst is gewijzigd of bijgewerkt, als tijdstempel voor de meest recente wijzigingen.",?,"La date et l'heure spécifiques auxquelles une entrée de conditionnement a été modifiée ou mise à jour pour la dernière fois, servant de marqueur temporel pour les dernières modifications.",,,,,,,,,,,,,Date,No,No
