ID_Column,Column,Label,Label@nl,Label@fr,Comment,Comment@nl,Comment@de,Comment@fr,Definition,Definition@nl,Definition@de,Definition@fr,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template,Column_type_variable,Column_personal_data,Column_sensitive_personal_data
ID_HCWBirthDate,HCWBirthDate,Birth date,,,,,,,The birth date of the health care worker.,De geboortedatum van de zorgverlener.,?,La date de naissance du professionnel de la santé.,,,,,,,,,,,,,String,Yes,No
ID_HCWContactAddrBox,HCWContactAddrBox,Box number of the contact address,,,,,,,The box number of the contact address of the health care worker.,Het brievenbusnummer van het contactadres van de zorgverlener.,?,Le numéro de boîte de l'adresse de contact du professionnel de la santé.,,,,,,,,,,,,,String,Yes,No
ID_HCWMainPractAddrBox,HCWMainPractAddrBox,Box number of the main practice address,,,,,,,The box number of the main practice address of the health care worker.,Het brievenbusnummer van het hoofdpraktijkadres van de zorgverlener.,?,Le numéro de boîte de l'adresse de la pratique principale du professionnel de la santé.,,,,,,,,,,,,,String,Yes,No
ID_HCWConvStatusCode,HCWConvStatusCode,Code representing the conversion status of the health care worker,,,,,,,The code representing the conversion status of the health care worker.,De code die de conversiestatus van de zorgverlener vertegenwoordigt.,?,Le code représentant le statut de conversion du professionnel de la santé.,,,,,,,,,,,,,Number,Yes,No
ID_HCWProfessionCode,HCWProfessionCode,Code representing the profession of the health care worker,,,,,,,The code representing the profession of the health care worker.,De code die de beroepsgroep van de zorgverlener vertegenwoordigt.,?,Le code représentant la profession du professionnel de la santé.,,,,,,,,,,,,,Number,Yes,No
ID_HCWQualificationCode,HCWQualificationCode,Worker's qualification code,,,,,,,The code representing the qualification of the health care worker.,De code die de kwalificatie van de zorgverlener vertegenwoordigt.,?,Le code représentant la qualification du professionnel de la santé.,,,,,,,,,,,,,Number,Yes,No
ID_HCWSituationCode,HCWSituationCode,Code representing the situation of the health care worker,,,,,,,The code representing the situation of the health care worker.,De code die de situatie van de zorgverlener vertegenwoordigt.,?,Le code représentant la situation du professionnel de la santé.,,,,,,,,,,,,,Number,Yes,No
ID_HCWDeathDate,HCWDeathDate,Date of death,,,,,,,The date of death of the health care worker.,De datum van overlijden van de zorgverlener.,?,La date de décès du professionnel de la santé.,,,,,,,,,,,,,String,Yes,No
ID_HCWGraduateDate,HCWGraduateDate,Date of graduation of the health care worker,,,,,,,The date when the health care worker graduated.,De datum waarop de zorgverlener is afgestudeerd.,?,La date de graduation du professionnel de la santé.,,,,,,,,,,,,,String,Yes,No
ID_HCWFirstInscriptionDate,HCWFirstInscriptionDate,Date of the first inscription of the health care worker,,,,,,,The date of the health care worker's first inscription.,De datum van de eerste inschrijving van de zorgverlener.,?,La date de la première inscription du professionnel de la santé.,,,,,,,,,,,,,String,Yes,No
