ID_Column,Column,Label,Label@nl,Label@fr,Comment,Comment@nl,Comment@de,Comment@fr,Definition,Definition@nl,Definition@de,Definition@fr,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template,Column_type_variable,Column_personal_data,Column_sensitive_personal_data
ID_code,code,Code for the Route of Administration.,,,,,,,A code associated with the route of administration within the 'Route of Administration' dataset.,Een code gekoppeld aan de toedieningsweg binnen de dataset 'Route of Administration'.,?,Un code associé à la voie d'administration dans l'ensemble de données 'Route of Administration'.,,,,,,,,,,,,,Number,No,No
ID_createdDate,createdDate,Date of creation for the Route of Administration entry.,,,,,,,The date when a route of administration entry was originally created or added to the 'Route of Administration' dataset.,De datum waarop een vermelding voor een toedieningsweg oorspronkelijk is aangemaakt of toegevoegd aan de dataset 'Route of Administration'.,?,La date à laquelle une entrée de voie d'administration a été initialement créée ou ajoutée à l'ensemble de données 'Route of Administration'.,,,,,,,,,,,,,Date,No,No
ID_de,de,Description of the Route of Administration,,,,,,,The German name or description of the route of administration within the 'Route of Administration' dataset.,De Duitse naam of beschrijving van de toedieningsweg binnen de dataset 'Route of Administration'.,?,Le nom ou la description en allemand de la voie d'administration dans l'ensemble de données 'Route of Administration'.,,,,,,,,,,,,,String,No,No
ID_deprecated,deprecated,Deprecated indicator for the Route of Administration.,,,,,,,An indicator that marks whether the route of administration is deprecated or no longer in use.,Een vlag die aangeeft of het item in de toedieningsweg dataset verouderd of niet langer in gebruik is.,?,Un indicateur qui signale si l'entrée dans le jeu de donnée sur les voies d'administration est obsolète ou n'est plus utilisée.,,,,,,,,,,,,,Boolean,No,No
ID_edqmCode,edqmCode,Code for the Route of Administration defined by EDQM.,,,,,,,The code associated with the route of administration defined by the European Directorate for the Quality of Medicines & HealthCare (EDQM).,De code gekoppeld aan de toedieningsweg gedefinieerd door de Europese Directie voor de Kwaliteit van Geneesmiddelen & Gezondheidszorg (EDQM).,?,Le code associé à la voie d'administration définie par la Direction européenne de la qualité des médicaments et des soins de santé (EDQM).,,,,,,,,,,,,,Number,No,No
ID_edqmDefinition,edqmDefinition,Definition for the Route of Administration by EDQM.,,,,,,,The definition of the route of administration defined by the European Directorate for the Quality of Medicines & HealthCare (EDQM).,De definitie van de toedieningsweg gedefinieerd door de Europese Directie voor de Kwaliteit van Geneesmiddelen & Gezondheidszorg (EDQM).,?,La définition de la voie d'administration définie par la Direction européenne de la qualité des médicaments et des soins de santé (EDQM).,,,,,,,,,,,,,String,No,No
ID_en,en,Description of the Route of Administration in English.,,,,,,,The English name or description of the route of administration within the 'Route of Administration' dataset.,De Engelse naam of beschrijving van de toedieningsweg binnen de dataset 'Route of Administration'.,?,Le nom ou la description en anglais de la voie d'administration dans l'ensemble de données 'Route of Administration'.,,,,,,,,,,,,,String,No,No
ID_fr,fr,Description of the Route of Administration,,,,,,,The French name or description of the route of administration within the 'Route of Administration' dataset.,De Franse naam of beschrijving van de toedieningsweg binnen de dataset 'Route of Administration'.,?,Le nom ou la description en français de la voie d'administration dans l'ensemble de données 'Route of Administration'.,,,,,,,,,,,,,String,No,No
ID_id,id,Description of the Route of Administration,,,,,,,A unique numerical identifier associated with an entry in the 'Route of Administration' dataset .,Een unieke numerieke identificatie gekoppeld aan een vermelding in de dataset 'Route of Administration' .,?,Un identifiant numérique unique associé à une entrée dans l'ensemble de données 'Route of Administration' .,,,,,,,,,,,,,String,No,No
ID_lastModifiedDate,lastModifiedDate,Latest modification timestamp for Route of Administration.,,,,,,,The date of the most recent modification or update to a route of administration entry within the 'Route of Administration' dataset.,De datum van de meest recente wijziging of update van een vermelding voor een toedieningsweg binnen de dataset 'Route of Administration'.,?,La date de la modification ou de la mise à jour la plus récente d'une entrée de voie d'administration dans l'ensemble de données 'Route of Administration'.,,,,,,,,,,,,,Date,No,No
ID_nl,nl,Description of the Route of Administration,,,,,,,The Dutch name or description of the route of administration within the 'Route of Administration' dataset.,De Nederlandse naam of beschrijving van de toedieningsweg binnen de dataset 'Route of Administration'.,?,Le nom ou la description en néerlandais de la voie d'administration dans l'ensemble de données 'Route of Administration'.,,,,,,,,,,,,,String,No,No
ID_sporId,sporId,European medicines agency (EMA) SPOR ID related to the table. ,,,,,,,"The SPOR ID is a unique identifier assigned to each 'Substance, Product, Organisation, Referential master data' in pharmaceutical regulatory processes. These data are used by European medicines agency (EMA) to identify & track medecines. "," De SPOR ID is een unieke identificatie die wordt toegewezen aan elke 'Substance, Product, Organisation, Referential master data' in farmaceutische regelgevende processen. Deze gegevens worden gebruikt door het Europees Geneesmiddelenbureau (EMA) om geneesmiddelen te identificeren en te volgen.",?,"L'identifiant SPOR est un identifiant unique attribué à chaque ""substance, produit, organisation, données de référence"" dans les processus de réglementation pharmaceutique. Ces données sont utilisées par l'Agence européenne des médicaments (EMA) pour identifier et suivre les médicaments. ",,,,,,,,,,,,,Number,No,No
ID_version,version,Version is an indicator tracking Route of Administration updates.,,,,,,,"The version number refers to the specific iteration or edition of an entry within the 'Route Of Administration(s)' dataset, denoting changes or updates made over time.","Het versienummer verwijst naar de specifieke iteratie of editie van een item binnen de 'Route Of Administration(s)' dataset, wat wijzigingen of updates aangeeft die in de loop der tijd zijn aangebracht.",?,"Le numéro de version fait référence à l'itération ou à l'édition spécifique d'une entrée dans l'ensemble de données ""Route Of Administration(s)"", indiquant les changements ou les mises à jour effectués au fil du temps.",,,,,,,,,,,,,Number,No,No
