ID_Column,Column,Label,Label@nl,Label@fr,Comment,Comment@nl,Comment@de,Comment@fr,Definition,Definition@nl,Definition@de,Definition@fr,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template,Column_type_variable,Column_personal_data,Column_sensitive_personal_data
ID_createdDate,createdDate,Entry creation date of the dataset 'Commercialisation Stop Reason'.,,,,,,,Date of entry creation in the 'Commercialisation Stop Reason' dataset.,Datum van invoercreatie in het 'Commercialisation Stop Reason' dataset.,?,Date de création de l'entrée dans le jeu de données 'Commercialisation Stop Reason'.,,,,,,,,,,,,,Date,No,No
ID_de,de,Cessation reason,,,,,,,"The reason for the cessation of commercialization in German, providing detailed information about the cause or motive behind discontinuing a product or service.","De reden voor het stopzetten van de commercialisering in het Duits, met gedetailleerde informatie over de oorzaak of het motief achter het stopzetten van een product of dienst.",?,"La raison de l'arrêt de la commercialisation en allemand, fournissant des informations détaillées sur la cause ou le motif de l'arrêt d'un produit ou d'un service.",,,,,,,,,,,,,String,No,No
ID_deprecated,deprecated,Obsolescence indicator in the Commercialisation Stop Reason dataset.,,,,,,,Indicator of obsolescence for the Commercialisation Stop Reason entry in the dataset.,Indicator van veroudering voor de commerciële stopredeninvoer in de dataset.,?,Indicateur d'obsolescence pour l'entrée de la raison d'arrêt commercial dans le jeu de données.,,,,,,,,,,,,,Boolean,No,No
ID_en,en,Cessation reason,,,,,,,"The reason for the cessation of commercialization in English, providing detailed information about the cause or motive behind discontinuing a product or service.","De reden voor het stopzetten van de commercialisering in het Engels, met gedetailleerde informatie over de oorzaak of het motief achter het stopzetten van een product of dienst.",?,"La raison de l'arrêt de la commercialisation en anglais, fournissant des informations détaillées sur la cause ou le motif de l'arrêt d'un produit ou d'un service.",,,,,,,,,,,,,String,No,No
ID_fr,fr,Cessation reason,,,,,,,"The reason for the cessation of commercialization in French, providing detailed information about the cause or motive behind discontinuing a product or service.","De reden voor het stopzetten van de commercialisering in het Frans, met gedetailleerde informatie over de oorzaak of het motief achter het stopzetten van een product of dienst.",?,"La raison de l'arrêt de la commercialisation en français, fournissant des informations détaillées sur la cause ou le motif de l'arrêt d'un produit ou d'un service.",,,,,,,,,,,,,String,No,No
ID_id,id,Unique identifier for entries in Commercialisation Stop Reason dataset.,,,,,,,"A unique identifier for each entry in the Commercialisation Stop Reason dataset, facilitating data organization and retrieval.","Een unieke identificatie voor elke invoer in de dataset voor redenen van stopzetting van commercialisering, wat zorgt voor gegevensorganisatie en -terugvinding.",?,"Un identifiant unique pour chaque entrée dans le jeu de données des raisons d'arrêt de la commercialisation, facilitant l'organisation et la récupération des données.",,,,,,,,,,,,,String,No,No
ID_lastModifiedDate,lastModifiedDate,Last entry modification date in dataset 'Commercialisation Stop Reason'.,,,,,,,Date of the last modification of the entry in the dataset 'Commercialisation Stop Reason'.,Datum van de laatste wijziging van de invoer in de dataset 'Commercialisation Stop Reason'.,?,Date de la dernière modification de l'entrée dans le jeu de données 'Commercialisation Stop Reason'.,,,,,,,,,,,,,Date,No,No
ID_nl,nl,Cessation reason,,,,,,,"The reason for the cessation of commercialization in Dutch, providing detailed information about the cause or motive behind discontinuing a product or service.","De reden voor het stopzetten van de commercialisering in het Nederlands, met gedetailleerde informatie over de oorzaak of het motief achter het stopzetten van een product of dienst.",?,"La raison de l'arrêt de la commercialisation en néerlandais, fournissant des informations détaillées sur la cause ou le motif de l'arrêt d'un produit ou d'un service.",,,,,,,,,,,,,String,No,No
ID_mouseOverDe,mouseOverDe,Detailed information on the Commercialisation Stop Reason,,,,,,,Give an extensive description over the Commercialisation stop reason of the entry written in German. ,Geef een uitgebreide beschrijving van de reden van de commercialiseringstop in het Duits.,?,Donnez une description détaillée de la raison de l'arrêt de la commercialisation de l'entrée rédigée en allemand.,,,,,,,,,,,,,String,No,No
ID_mouseOverEn,mouseOverEn,Detailed information on the Commercialisation Stop Reason,,,,,,,Give an extensive description over the Commercialisation stop reason of the entry written in English. ,Geef een uitgebreide beschrijving van de reden van de commercialiseringstop in het Engels.,?,Donnez une description détaillée de la raison de l'arrêt de la commercialisation de l'entrée rédigée en anglais.,,,,,,,,,,,,,String,No,No
